pitcher,pitcher_name,feature,standardized_residual_coefficient,effective_standardized_coefficient,feature_training_mean,feature_training_scale,effective_raw_unit_coefficient,model_residual_intercept,effective_raw_unit_intercept,ridge_alpha,correction_scale
450203,Charlie Morton,prior_minus_ewma4,-0.3732873495450876,-0.0933218373862719,0.018034938561785094,2.8444033712623518,-0.032808932210221464,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,mean5_minus_ewma4,0.025417390310322575,0.006354347577580644,0.044805513756038175,1.2709076309187055,0.004999850046527185,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,stuff_plus_slope_last5,-0.14576806772358858,-0.036442016930897145,-0.07578728339695665,1.4958394058583424,-0.024362252249923843,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,prev_start_pitch_count,0.10485247140560548,0.02621311785140137,94.4375,10.314501970180487,0.0025413847345401868,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,rest_days,-0.1782320829353678,-0.04455802073384195,5.955357142857143,0.9295581982197515,-0.04793462186571802,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,workload_density_3starts,-0.2937081741278892,-0.0734270435319723,15.885374060908251,1.6919343691168736,-0.04339828120537469,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,release_speed_slope5,-0.2829068364258647,-0.07072670910646618,0.014606610780682384,0.2694988103951588,-0.2624379269161208,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,release_spin_rate_slope5,-0.30988824586428454,-0.07747206146607113,1.6439256639895679,22.069114731163985,-0.0035104290502723325,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,release_extension_slope5,0.3291259971180379,0.08228149927950948,-0.004070775526183371,0.02971249238251404,2.7692560496181255,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,release_pos_x_slope5,-0.27245484154744376,-0.06811371038686094,-0.009485420432882436,0.03697821033131088,-1.841995861254173,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,release_pos_z_slope5,-0.07047561543678807,-0.017618903859197017,-0.0027910375933773855,0.026264878452921074,-0.6708161201194333,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,arm_angle_slope5,0.1624294972424657,0.04060737431061642,-0.08633929282227379,0.35315196954085326,0.11498555243345142,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,pfx_x_slope5,-0.02446510155033824,-0.00611627538758456,-0.0018451195949269745,0.05555835757816283,-0.11008740456338754,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,pfx_z_slope5,0.15128537416896015,0.03782134354224004,-0.0029888192405647033,0.03363344644804548,1.1245158476596717,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,breaking_share_slope5,-0.024973258741700727,-0.006243314685425182,-0.00015889245815077022,0.018955551165396465,-0.3293660327230374,0.1735872547398646,0.7873008992497251,100.0,0.25
450203,Charlie Morton,offspeed_share_slope5,0.1675873051783764,0.0418968262945941,0.00105618322182003,0.010933943773392192,3.831812853889942,0.1735872547398646,0.7873008992497251,100.0,0.25
542881,Tyler Anderson,prior_minus_ewma4,0.2853849749133599,0.07134624372833998,0.1017421308250061,2.6945322753981893,0.026478155181049616,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,mean5_minus_ewma4,0.3443594766685599,0.08608986916713998,0.02458166074591696,1.28483967285262,0.06700436714878362,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,stuff_plus_slope_last5,-0.3248515754560753,-0.08121289386401882,0.07346880380217014,1.6754015247600371,-0.048473689837217206,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,prev_start_pitch_count,-0.034315135645996864,-0.008578783911499216,90.31481481481481,10.18772695557071,-0.0008420704587894639,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,rest_days,0.22773885125254165,0.05693471281313541,6.185185185185185,1.4411167746921278,0.039507355554374575,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,workload_density_3starts,-0.0010598136294728243,-0.00026495340736820607,14.690264021816962,2.203446175335296,-0.00012024500999117366,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,release_speed_slope5,-0.2124100549802632,-0.0531025137450658,0.013990896187160472,0.27121850923962026,-0.19579236643524936,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,release_spin_rate_slope5,-0.14239152665694588,-0.03559788166423647,-2.8481801276209704,22.78080752029234,-0.0015626259794578018,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,release_extension_slope5,-0.04951689394310989,-0.012379223485777472,0.00303757644194548,0.034858433581704325,-0.3551285073312872,-0.01569575203051927,-0.1765998819317234,100.0,0.25
542881,Tyler Anderson,release_pos_x_slope5,-0.07118042781598378,-0.017795106953995946,-0.0030947656314609107,0.038338994998573496,-0.4641516282484207,-0.01569575203051927,-0.1765998819317234,100.0,0.25
